L cm_1_X_1.1,xi cm_1_X_1.1,yi cm_1_X_1.1,L cm_1_X_1.2,xi cm_1_X_1.2,L cm_1_X_2.1,xi cm_1_X_2.1,L cm_1_X_2.2,yi cm_1_X_3.1,xi cm_1_X_3.2,L cm_1_X_3.3,xi cm_1_X_4.1,yi cm_1_X_4.1,L cm_1_X_4.3,xi cm_1_X_4.3,L cm_1_X_4.4,xi cm_1_X_4.4,L cm_1_X_5.1,xi cm_1_X_5.1,L cm_1_X_5.2,xi cm_1_X_5.2,L cm_1_X_6.1,xi cm_1_X_6.1,L cm_1_X_6.2,L cm_1_X_7.1,xi cm_1_X_7.2,L cm_1_X_8.2,L cm_1_X_8.3,L cm_1_X_8.5,L cm_1_X_9.1,xi cm_1_X_9.1,L cm_1_Y_B.1,yi cm_1_Y_B.2,L cm_1_Y_D.2,L cm_4_X_1.1,xi cm_4_X_1.1,yi cm_4_X_1.1,L cm_4_X_1.2,xi cm_4_X_1.2,L cm_4_X_2.1,L cm_4_X_2.2,xi cm_4_X_3.2,L cm_4_X_3.3,xi cm_4_X_4.1,L cm_4_X_4.3,xi cm_4_X_4.3,L cm_4_X_4.4,xi cm_4_X_4.4,L cm_4_X_5.1,xi cm_4_X_5.1,L cm_4_X_5.2,xi cm_4_X_5.2,L cm_4_X_6.1,xi cm_4_X_6.1,L cm_4_X_7.1,L cm_4_X_8.3,L cm_4_X_8.5,L cm_4_X_9.1,xi cm_4_X_9.1,L cm_4_Y_B.1,xi cm_4_Y_B.1,xi cm_4_Y_B.2,yi cm_4_Y_B.2,L cm_4_Y_B.3,xi cm_4_Y_B.3,L cm_4_Y_B.4,L cm_4_Y_B.5,xi cm_4_Y_C.1,yi cm_4_Y_C.1,L cm_4_Y_D.1,xi cm_4_Y_D.1,yi cm_4_Y_D.1,L cm_4_Y_D.2,yi cm_4_Y_D.2,L cm_4_Y_F.1,yi cm_4_Y_F.1,L cm_4_Y_H.1,yi cm_4_Y_H.1,L cm_4_Y_H.2,xi cm_4_Y_H.2,L cm_4_Y_I.2,yi cm_4_Y_I.2,L cm_4_Y_I.3,xi cm_4_Y_I.3,xi cm_4_Y_I.4,yi cm_4_Y_J.1,yi cm_4_Y_J.2,L cm_4_Y_J.3,xi cm_4_Y_J.3,yi cm_4_Y_J.3,L cm_5_X_1.1,xi cm_5_X_1.1,yi cm_5_X_1.1,L cm_5_X_1.2,xi cm_5_X_1.2,L cm_5_X_2.1,L cm_5_X_2.2,xi cm_5_X_3.2,L cm_5_X_3.3,xi cm_5_X_4.1,L cm_5_X_4.3,xi cm_5_X_4.3,L cm_5_X_4.4,xi cm_5_X_4.4,L cm_5_X_5.1,xi cm_5_X_5.1,L cm_5_X_5.2,xi cm_5_X_5.2,L cm_5_X_6.1,xi cm_5_X_6.1,L cm_5_X_7.1,L cm_5_X_8.3,xi cm_5_X_9.1,L cm_5_Y_B.1,xi cm_5_Y_B.1,xi cm_5_Y_B.2,yi cm_5_Y_B.2,L cm_5_Y_B.3,L cm_5_Y_B.4,L cm_5_Y_B.5,xi cm_5_Y_C.1,yi cm_5_Y_C.1,L cm_5_Y_D.1,xi cm_5_Y_D.1,yi cm_5_Y_D.1,L cm_5_Y_D.2,yi cm_5_Y_D.2,L cm_5_Y_F.1,yi cm_5_Y_F.1,L cm_5_Y_H.1,yi cm_5_Y_H.1,L cm_5_Y_H.2,xi cm_5_Y_H.2,L cm_5_Y_I.2,yi cm_5_Y_I.2,L cm_5_Y_I.3,xi cm_5_Y_I.3,xi cm_5_Y_I.4,yi cm_5_Y_J.1,yi cm_5_Y_J.2,L cm_5_Y_J.3,xi cm_5_Y_J.3,yi cm_5_Y_J.3,D+0.25L 1,D+0.25L 3,D+0.25L 4,D+0.25L 5,Story Area 1,Story Area 4,Total_Number_walls,L cm_6_X_1.1,xi cm_6_X_1.1,yi cm_6_X_1.1,xi cm_6_X_1.2,L cm_6_X_3.3,xi cm_6_X_4.1,L cm_4_X_A.1,L cm_4_Y_1.1,L cm_5_X_A.1,L cm_5_Y_1.1,L cm_4_Y_A.1,L cm_4_Y_A.2,L cm_4_Y_B.6,yi cm_4_Y_B.6,L cm_4_Y_D.3,xi cm_4_Y_D.3,L cm_4_Y_E.2,xi cm_4_Y_E.2,xi cm_4_Y_E.3,L cm_5_Y_A.1,L cm_5_Y_A.2,L cm_5_Y_B.6,yi cm_5_Y_B.6,L cm_5_Y_D.3,xi cm_5_Y_D.3,L cm_5_Y_E.2,xi cm_5_Y_E.2,xi cm_5_Y_E.3,L cm_1_X_1.3,stories_3,stories_4,stories_5,soil_class_A,soil_class_B,soil_class_C,soil_class_D,seismic_zone_1,connection_system_ATS,connection_system_HD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697581914878806,0.7126093807096329,0.7400326968380695,0.0,1.0,1.0,0.7242990654205608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.4444444444444445,0.5056947608200456,1.0,0.6333333333333333,0.226614143615508,1.0,0.9707547590388302,0.5535714285714286,0.6402116402116402,0.7089068121931972,0.0,0.1607270418287165,0.831218274111675,0.7021276595744681,1.0,0.4792899408284023,1.0,1.0,1.0,0.0,0.0,0.2842105263157894,0.1607270418287165,0.6175438596491228,1.0,0.6897597210642007,1.0,0.2680851063829787,1.0,1.0,1.0,1.0,0.5615509502435297,0.2152690863579474,0.4444444444444445,0.5056947608200456,1.0,0.6333333333333333,0.226614143615508,1.0,0.5535714285714286,0.7089068121931972,0.0,0.1607270418287165,0.7021276595744681,1.0,0.4792899408284023,1.0,1.0,1.0,0.0,0.0,0.2842105263157894,0.1607270418287165,1.0,0.2680851063829787,1.0,1.0,1.0,1.0,1.0,0.3352713178294573,0.5615509502435297,0.4620853080568721,0.0891293147861927,0.7065217391304348,1.0,0.4617414248021108,0.6869158878504672,0.6182728410513142,0.972093023255814,0.6175,0.2152690863579474,0.2847910383455407,0.9330759330759332,0.7182539682539683,0.6182728410513142,0.3064516129032258,0.2152690863579474,0.4513986013986014,0.7448453608247423,1.0,0.0,0.0,0.0,0.2090813093980992,0.6209081309398099,0.4620853080568721,0.7993586807146129,0.6602941176470588,0.4444444444444445,0.5056947608200456,1.0,0.6333333333333333,0.226614143615508,1.0,0.5535714285714286,0.7089068121931972,0.0,0.1607270418287165,0.7021276595744681,1.0,0.4792899408284023,1.0,1.0,1.0,0.0,0.0,0.2842105263157894,0.1607270418287165,1.0,0.2680851063829787,1.0,1.0,1.0,0.3352713178294573,0.5615509502435297,0.4620853080568721,0.7065217391304348,1.0,0.4617414248021108,0.6869158878504672,0.6182728410513142,0.972093023255814,0.6175,0.2152690863579474,0.2847910383455407,0.9330759330759332,0.7182539682539683,0.6182728410513142,0.3064516129032258,0.2152690863579474,0.4513986013986014,0.7448453608247423,1.0,0.0,0.0,0.0,0.2090813093980992,0.6209081309398099,0.4620853080568721,0.7993586807146129,0.6602941176470588,0.6433543158911368,0.6696338259713691,0.7902390174500666,0.8007298714051206,0.6625939965468621,0.8233582820177444,0.4158878504672897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5993031358885017,0.2335195530726257,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5993031358885017,0.2335195530726257,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.7246831018172525,0.9612903225806452,0.9874726940394988,0.5321428571428571,1.0,0.3780836331697051,1.0,0.1607270418287165,1.0,1.0,0.6188655194391331,1.0,0.864997278170931,0.2367601246105919,0.7247132429614181,0.2814814814814815,1.0,1.0,0.9306294150329392,1.0,0.2048517520215633,0.5542154707710417,0.9602272727272728,1.0,0.4602272727272727,0.8473520249221184,0.2836287799791449,0.8068181818181819,0.8222710342851687,1.0,1.0,1.0,1.0,1.0,0.7246831018172525,0.9612903225806452,0.5321428571428571,0.3780836331697051,1.0,0.1607270418287165,1.0,0.6188655194391331,1.0,0.864997278170931,0.2367601246105919,0.7247132429614181,0.2814814814814815,1.0,1.0,0.9306294150329392,0.2048517520215633,1.0,0.4602272727272727,0.8473520249221184,0.2836287799791449,0.8068181818181819,1.0,0.3352713178294573,0.8222710342851687,1.0,0.0891293147861927,1.0,0.989547038327526,0.4687774846086192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7718253968253967,1.0,0.4962779156327543,1.0,0.4534965034965035,0.5154639175257731,0.655299055613851,1.0,0.5774590163934427,0.3630507601133728,0.1499472016895459,0.9091869060190072,1.0,0.810352725606963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443137514488858,0.5769117449464533,0.6766406335303368,0.0,0.8616788029683138,0.9275848869700604,0.1635514018691588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.7246831018172525,0.9612903225806452,0.9874726940394988,0.5321428571428571,1.0,0.3780836331697051,1.0,0.1607270418287165,1.0,1.0,0.6188655194391331,1.0,0.864997278170931,0.2367601246105919,0.7247132429614181,0.2814814814814815,1.0,1.0,0.9306294150329392,1.0,0.2048517520215633,0.5542154707710417,0.9602272727272728,1.0,0.4602272727272727,0.8473520249221184,0.2836287799791449,0.8068181818181819,0.8222710342851687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494807104880977,0.4944153026188228,0.0,0.0,0.8616788029683138,0.0,0.02803738317757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.4444444444444445,0.9123234624145784,0.6272727272727273,0.4444444444444445,1.0,0.8193548387096774,1.0,1.0,0.5832451499118165,1.0,0.0,1.0,0.5513959390862944,0.0,0.0,0.0,0.0,0.8411214953271028,0.2815432742440041,1.0,0.6495589414595028,0.2964912280701754,1.0,0.2964912280701754,0.2762803234501348,1.0,0.3607954545454545,0.0,0.0,0.1869158878504672,0.4176329509906152,0.9204545454545456,1.0,0.4055068836045056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010492973075138,0.0023111137672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.4444444444444445,0.5056947608200456,1.0,0.6333333333333333,0.226614143615508,1.0,0.9707547590388302,0.5535714285714286,0.6402116402116402,0.7089068121931972,0.0,0.1607270418287165,0.831218274111675,0.7021276595744681,1.0,0.4792899408284023,1.0,1.0,1.0,0.0,0.0,0.2842105263157894,0.1607270418287165,0.6175438596491228,1.0,0.6897597210642007,1.0,0.2680851063829787,1.0,1.0,1.0,1.0,0.5615509502435297,0.2152690863579474,0.4444444444444445,0.5056947608200456,1.0,0.6333333333333333,0.226614143615508,1.0,0.5535714285714286,0.7089068121931972,0.0,0.1607270418287165,0.7021276595744681,1.0,0.4792899408284023,1.0,1.0,1.0,0.0,0.0,0.2842105263157894,0.1607270418287165,1.0,0.2680851063829787,1.0,1.0,1.0,1.0,1.0,0.3352713178294573,0.5615509502435297,0.4620853080568721,0.0891293147861927,0.7065217391304348,1.0,0.4617414248021108,0.6869158878504672,0.6182728410513142,0.972093023255814,0.6175,0.2152690863579474,0.2847910383455407,0.9330759330759332,0.7182539682539683,0.6182728410513142,0.3064516129032258,0.2152690863579474,0.4513986013986014,0.7448453608247423,1.0,0.0,0.0,0.0,0.2090813093980992,0.6209081309398099,0.4620853080568721,0.7993586807146129,0.6602941176470588,0.4444444444444445,0.5056947608200456,1.0,0.6333333333333333,0.226614143615508,1.0,0.5535714285714286,0.7089068121931972,0.0,0.1607270418287165,0.7021276595744681,1.0,0.4792899408284023,1.0,1.0,1.0,0.0,0.0,0.2842105263157894,0.1607270418287165,1.0,0.2680851063829787,1.0,1.0,1.0,0.3352713178294573,0.5615509502435297,0.4620853080568721,0.7065217391304348,1.0,0.4617414248021108,0.6869158878504672,0.6182728410513142,0.972093023255814,0.6175,0.2152690863579474,0.2847910383455407,0.9330759330759332,0.7182539682539683,0.6182728410513142,0.3064516129032258,0.2152690863579474,0.4513986013986014,0.7448453608247423,1.0,0.0,0.0,0.0,0.2090813093980992,0.6209081309398099,0.4620853080568721,0.7993586807146129,0.6602941176470588,0.6433543158911368,0.6696338259713691,0.7902390174500666,0.8007298714051206,0.6625939965468621,0.8233582820177444,0.4158878504672897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5993031358885017,0.2335195530726257,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5993031358885017,0.2335195530726257,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.7246831018172525,0.9612903225806452,0.9874726940394988,0.5321428571428571,1.0,0.3780836331697051,1.0,0.1607270418287165,1.0,1.0,0.6188655194391331,1.0,0.864997278170931,0.2367601246105919,0.7247132429614181,0.2814814814814815,1.0,1.0,0.9306294150329392,1.0,0.2048517520215633,0.5542154707710417,0.9602272727272728,1.0,0.4602272727272727,0.8473520249221184,0.2836287799791449,0.8068181818181819,0.8222710342851687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541116270212975,0.4930375232575518,0.0,0.0,0.8616788029683138,0.0,0.02803738317757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.7246831018172525,0.9612903225806452,0.9874726940394988,0.5321428571428571,1.0,0.3780836331697051,1.0,0.1607270418287165,1.0,1.0,0.6188655194391331,1.0,0.864997278170931,0.2367601246105919,0.7247132429614181,0.2814814814814815,1.0,1.0,0.9306294150329392,1.0,0.2048517520215633,0.5542154707710417,0.9602272727272728,1.0,0.4602272727272727,0.8473520249221184,0.2836287799791449,0.8068181818181819,0.8222710342851687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5522614373462851,0.4955708595024694,0.0,0.0,0.8616788029683138,0.0,0.02803738317757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.4444444444444445,0.9123234624145784,0.6272727272727273,0.4444444444444445,1.0,0.8193548387096774,1.0,1.0,0.5832451499118165,1.0,0.0,1.0,0.5513959390862944,0.0,0.0,0.0,0.0,0.8411214953271028,0.2815432742440041,1.0,0.6495589414595028,0.2964912280701754,1.0,0.2964912280701754,0.2762803234501348,1.0,0.3607954545454545,0.0,0.0,0.1869158878504672,0.4176329509906152,0.9204545454545456,1.0,0.4055068836045056,0.4444444444444445,0.9123234624145784,0.6272727272727273,0.4444444444444445,1.0,0.8193548387096774,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8411214953271028,0.2815432742440041,1.0,0.6495589414595028,0.2964912280701754,1.0,0.2762803234501348,0.0,0.0,0.1869158878504672,0.4176329509906152,0.9204545454545456,0.7865895953757226,0.2637209302325581,1.0,0.0,0.0,0.0,0.0,0.2965347405452946,0.590303738317757,0.4055068836045056,0.6455038759689923,0.43925,0.4055068836045056,0.4451960361912968,0.4311454311454311,0.6032341269841269,0.2315394242803504,0.2843300248138957,0.0,0.0,1.0,0.4681951731374607,0.0,0.0,0.0,0.3210454065469904,0.9556177402323124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015755704640719,0.0593995629439403,0.3541293512406814,0.0,0.0,0.4764713248299115,0.1261682242990653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6327944572748267,1.0,0.0,0.0,0.0,0.0,1.0,0.2983889173935351,0.1976078831124702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814506113688703,0.7042093710554326,0.7382301995937226,0.0,1.0,1.0,0.7242990654205608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
