architectural_archetype,stories,soil_class,seismic_zone,connection_system,Tx(s),Ty(s)
P,5,A,1,HD,0.8939017074698747,0.852976273954363
P,5,A,1,HD,0.9426537840016436,0.8529704979061795
D,5,D,3,ATS,0.44712077171387216,0.3997320228461101
D,5,C,3,ATS,0.43433069484431397,0.3803812361925541
D,5,C,3,ATS,0.4606269134265009,0.4268197304496681
D,5,B,3,ATS,0.4452209338739811,0.38410370216326756
D,5,B,3,ATS,0.7295573627306563,0.6300809847166207
D,5,A,3,ATS,0.6982290197038769,0.5919581935450088
D,5,A,3,ATS,0.7691251045315397,0.7076404608690994
D,5,D,1,ATS,0.5467078273089643,0.5006922815092654
D,5,D,1,ATS,0.6647473389061032,0.6061988576135134
D,5,C,1,ATS,0.6363328088403506,0.5365013709068821
D,5,C,1,ATS,0.8996345942112094,0.8020944804190846
D,5,B,1,ATS,0.7699545387177417,0.6480048062046816
D,5,B,1,ATS,0.8995533721310801,0.8173886357617004
D,5,A,1,ATS,0.8418434721269072,0.7346941564416894
D,5,A,1,ATS,0.8995533721310801,0.8231211664922741
D,3,D,3,HD,0.33486889274318576,0.2746563814069209
D,3,D,3,HD,0.3635757597534283,0.3522729722609932
D,3,C,3,HD,0.3555720266165319,0.31459857487027615
D,3,C,3,HD,0.41153016043949014,0.3726235813668858
D,3,B,3,HD,0.35675126240521854,0.31007185944844445
D,3,B,3,HD,0.43356636748130806,0.37910241447038034
D,3,A,3,HD,0.5242857022583401,0.46459596410277565
D,3,A,3,HD,0.5556616598448818,0.5244601626162732
D,3,D,1,HD,0.4857027105598578,0.4160485601947565
D,3,D,1,HD,0.5030809454323962,0.47581921474673633
D,3,C,1,HD,0.498765064984702,0.44620520160855237
D,3,C,1,HD,0.5282146140195184,0.4833756652296858
D,3,B,1,HD,0.5550538058125966,0.4685704031396915
D,3,B,1,HD,0.5675850828567324,0.5371627888443264
D,3,A,1,HD,0.5990256999092053,0.5695713574662801
D,3,A,1,HD,0.5990256999092053,0.5905657647834803
D,4,B,3,HD,0.6153712717856128,0.4210980738688313
D,4,A,3,HD,0.6259090715788722,0.5424178495653096
D,4,A,3,HD,0.6473778995037105,0.6116419307849915
D,4,D,1,HD,0.5236774212029631,0.4468773623149606
D,4,D,1,HD,0.5792106641367067,0.5587874913364703
D,4,C,1,HD,0.6130019667815421,0.4958770567082328
D,4,C,1,HD,0.6841143871470114,0.6175015049710996
D,4,B,1,HD,0.7050427446313714,0.620146135102804
D,4,B,1,HD,0.7107762957464685,0.6697962557620821
D,4,A,1,HD,0.7341356460540758,0.6839133396770779
D,4,A,1,HD,0.7341063178700082,0.6944104236200823
D,5,B,3,HD,0.7170083231843605,0.5828176134657518
D,5,A,3,HD,0.6426741791110816,0.4742030582703227
D,5,A,3,HD,0.7569258949982105,0.7111489536034095
D,5,D,1,HD,0.6429268537058197,0.5871511651279493
D,5,C,1,HD,0.8869958527961009,0.8251399742706641
D,5,B,1,HD,0.8778191439850548,0.7519520906215544
D,5,B,1,HD,0.8865141315191608,0.8284010297796112
D,5,A,1,HD,0.9081327335209929,0.7975094625627442
D,5,A,1,HD,0.9080280198095637,0.8511005317020675
C,5,D,3,ATS,0.450406083531397,0.4536416553820963
C,5,C,3,ATS,0.4231977533005732,0.37588715245756077
C,5,C,3,ATS,0.5004101050325036,0.4727209233231875
C,5,B,3,ATS,0.5096555605733841,0.4007732434656327
C,5,B,3,ATS,0.7526365903903366,0.6312103850251896
C,5,A,3,ATS,0.6631353064546306,0.542533090151545
C,5,A,3,ATS,0.7593963536477122,0.6937033333958166
