architectural_archetype,stories,soil_class,seismic_zone,Story,Direction,Wall,L [cm],xi [cm],D+0.25L,Story Area,Nail spacing [cm],Number sheathing panels,Number end studs,Total number studs,Tx(s),Ty(s)
P,5,C,3,2,X,5.1,152,695,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,5.2,152,1247,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,6.1,570,469.00000000000006,161449.86624474623,4918759.585999998,5,2,2,20,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,6.2,570,1473,161449.86624474623,4918759.585999998,5,2,2,20,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,7.1,152,689,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,7.2,152,1243,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,8.1,162,81,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,8.2,338,353,161449.86624474623,4918759.585999998,5,2,2,14,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,8.3,470,971.0000000000001,161449.86624474623,4918759.585999998,5,2,3,20,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,8.4,338,1589,161449.86624474623,4918759.585999998,5,2,2,14,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,8.5,162,1861,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,9.1,544,272,161449.86624474623,4918759.585999998,5,2,3,21,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,9.2,224,848,161449.86624474623,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,9.3,224,1094,161449.86624474623,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,9.4,544,1670,161449.86624474623,4918759.585999998,5,2,3,21,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,10.1,149,886,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,10.2,149,1057,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,11.1,270,438.99999999999994,161449.86624474623,4918759.585999998,5,2,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,11.2,270,1503,161449.86624474623,4918759.585999998,5,2,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,B.1,284,173,161449.86624474623,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,B.2,276,173,161449.86624474623,4918759.585999998,5,1,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,B.3,422,173,161449.86624474623,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,B.4,276,173,161449.86624474623,4918759.585999998,5,1,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,B.5,284,173,161449.86624474623,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,C.1,287,533,161449.86624474623,4918759.585999998,5,1,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,C.2,200,533,161449.86624474623,4918759.585999998,10,1,1,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,C.3,200,533,161449.86624474623,4918759.585999998,10,1,1,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,C.4,287,533,161449.86624474623,4918759.585999998,5,1,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,D.1,799,645,161449.86624474623,4918759.585999998,5,2,3,28,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,D.2,799,645,161449.86624474623,4918759.585999998,5,2,3,28,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,E.1,722,765,161449.86624474623,4918759.585999998,10,2,2,24,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,F.1,777,971.0000000000001,161449.86624474623,4918759.585999998,10,2,2,25,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,F.2,777,971.0000000000001,161449.86624474623,4918759.585999998,10,2,2,25,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,G.1,722,1177,161449.86624474623,4918759.585999998,10,2,2,24,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,H.1,799,1297,161449.86624474623,4918759.585999998,5,2,3,28,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,H.2,799,1297,161449.86624474623,4918759.585999998,5,2,3,28,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,I.1,287,1409,161449.86624474623,4918759.585999998,5,1,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,I.2,200,1409,161449.86624474623,4918759.585999998,10,1,1,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,I.3,200,1409,161449.86624474623,4918759.585999998,10,1,1,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,I.4,287,1409,161449.86624474623,4918759.585999998,5,1,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,J.1,284,1769.0000000000002,161449.86624474623,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,J.2,276,1769.0000000000002,161449.86624474623,4918759.585999998,5,1,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,J.3,422,1769.0000000000002,161449.86624474623,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,J.4,276,1769.0000000000002,161449.86624474623,4918759.585999998,5,1,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,Y,J.5,284,1769.0000000000002,161449.86624474623,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,1.1,270,438.99999999999994,160563.93815319624,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,1.2,270,1503,160563.93815319624,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,2.1,149,886,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,2.2,149,1057,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,3.1,544,272,160563.93815319624,4918759.585999998,5,2,2,17,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,3.2,224,848,160563.93815319624,4918759.585999998,5,2,2,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,3.3,224,1094,160563.93815319624,4918759.585999998,5,2,2,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,3.4,544,1670,160563.93815319624,4918759.585999998,5,2,2,17,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,4.1,162,81,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,4.2,338,353,160563.93815319624,4918759.585999998,5,2,2,12,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,4.3,470,971.0000000000001,160563.93815319624,4918759.585999998,5,2,2,16,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,4.4,338,1589,160563.93815319624,4918759.585999998,5,2,2,12,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,4.5,162,1861,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,5.1,152,695,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,5.2,152,1247,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,6.1,570,469.00000000000006,160563.93815319624,4918759.585999998,5,2,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,6.2,570,1473,160563.93815319624,4918759.585999998,5,2,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,7.1,152,689,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,7.2,152,1243,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,8.1,162,81,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,8.2,338,353,160563.93815319624,4918759.585999998,5,2,2,12,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,8.3,470,971.0000000000001,160563.93815319624,4918759.585999998,5,2,2,16,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,8.4,338,1589,160563.93815319624,4918759.585999998,5,2,2,12,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,8.5,162,1861,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,9.1,544,272,160563.93815319624,4918759.585999998,5,2,2,17,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,9.2,224,848,160563.93815319624,4918759.585999998,5,2,2,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,9.3,224,1094,160563.93815319624,4918759.585999998,5,2,2,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,9.4,544,1670,160563.93815319624,4918759.585999998,5,2,2,17,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,10.1,149,886,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,10.2,149,1057,160563.93815319624,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,11.1,270,438.99999999999994,160563.93815319624,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,X,11.2,270,1503,160563.93815319624,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,B.1,284,173,160563.93815319624,4918759.585999998,5,1,1,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,B.2,276,173,160563.93815319624,4918759.585999998,5,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,B.3,422,173,160563.93815319624,4918759.585999998,5,1,1,13,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,B.4,276,173,160563.93815319624,4918759.585999998,5,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,B.5,284,173,160563.93815319624,4918759.585999998,5,1,1,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,C.1,287,533,160563.93815319624,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,C.2,200,533,160563.93815319624,4918759.585999998,10,1,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,C.3,200,533,160563.93815319624,4918759.585999998,10,1,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,C.4,287,533,160563.93815319624,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,D.1,799,645,160563.93815319624,4918759.585999998,5,2,2,26,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,D.2,799,645,160563.93815319624,4918759.585999998,5,2,2,26,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,E.1,722,765,160563.93815319624,4918759.585999998,10,2,2,22,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,F.1,777,971.0000000000001,160563.93815319624,4918759.585999998,10,2,2,23,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,F.2,777,971.0000000000001,160563.93815319624,4918759.585999998,10,2,2,23,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,G.1,722,1177,160563.93815319624,4918759.585999998,10,2,2,22,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,H.1,799,1297,160563.93815319624,4918759.585999998,5,2,2,26,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,H.2,799,1297,160563.93815319624,4918759.585999998,5,2,2,26,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,I.1,287,1409,160563.93815319624,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,I.2,200,1409,160563.93815319624,4918759.585999998,10,1,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,I.3,200,1409,160563.93815319624,4918759.585999998,10,1,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,I.4,287,1409,160563.93815319624,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,J.1,284,1769.0000000000002,160563.93815319624,4918759.585999998,5,1,1,11,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,J.2,276,1769.0000000000002,160563.93815319624,4918759.585999998,5,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,J.3,422,1769.0000000000002,160563.93815319624,4918759.585999998,5,1,1,13,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,J.4,276,1769.0000000000002,160563.93815319624,4918759.585999998,5,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,3,Y,J.5,284,1769.0000000000002,160563.93815319624,4918759.585999998,5,1,1,11,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,1.1,270,438.99999999999994,158861.74656624623,4918759.585999998,5,2,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,1.2,270,1503,158861.74656624623,4918759.585999998,5,2,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,2.1,149,886,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,2.2,149,1057,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,3.1,544,272,158861.74656624623,4918759.585999998,5,2,1,15,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,3.2,224,848,158861.74656624623,4918759.585999998,5,2,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,3.3,224,1094,158861.74656624623,4918759.585999998,5,2,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,3.4,544,1670,158861.74656624623,4918759.585999998,5,2,1,15,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,4.1,162,81,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,4.2,338,353,158861.74656624623,4918759.585999998,5,2,1,10,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,4.3,470,971.0000000000001,158861.74656624623,4918759.585999998,5,2,1,14,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,4.4,338,1589,158861.74656624623,4918759.585999998,5,2,1,10,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,4.5,162,1861,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,5.1,152,695,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,5.2,152,1247,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,6.1,570,469.00000000000006,158861.74656624623,4918759.585999998,5,2,1,16,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,6.2,570,1473,158861.74656624623,4918759.585999998,5,2,1,16,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,7.1,152,689,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,7.2,152,1243,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,8.1,162,81,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,8.2,338,353,158861.74656624623,4918759.585999998,5,2,1,10,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,8.3,470,971.0000000000001,158861.74656624623,4918759.585999998,5,2,1,14,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,8.4,338,1589,158861.74656624623,4918759.585999998,5,2,1,10,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,8.5,162,1861,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,9.1,544,272,158861.74656624623,4918759.585999998,5,2,1,15,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,9.2,224,848,158861.74656624623,4918759.585999998,5,2,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,9.3,224,1094,158861.74656624623,4918759.585999998,5,2,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,9.4,544,1670,158861.74656624623,4918759.585999998,5,2,1,15,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,10.1,149,886,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,10.2,149,1057,158861.74656624623,4918759.585999998,5,2,1,6,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,11.1,270,438.99999999999994,158861.74656624623,4918759.585999998,5,2,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,11.2,270,1503,158861.74656624623,4918759.585999998,5,2,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,B.1,284,173,158861.74656624623,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,B.2,276,173,158861.74656624623,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,B.3,422,173,158861.74656624623,4918759.585999998,10,1,1,13,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,B.4,276,173,158861.74656624623,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,B.5,284,173,158861.74656624623,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,C.1,287,533,158861.74656624623,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,C.2,200,533,158861.74656624623,4918759.585999998,15,1,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,C.3,200,533,158861.74656624623,4918759.585999998,15,1,1,7,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,C.4,287,533,158861.74656624623,4918759.585999998,10,1,1,9,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,D.1,799,645,158861.74656624623,4918759.585999998,10,2,1,22,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,D.2,799,645,158861.74656624623,4918759.585999998,10,2,1,22,0.447565938162885,0.45487314485145786
P,5,C,3,4,Y,E.1,722,765,158861.74656624623,4918759.585999998,5,1,1,20,0.447565938162885,0.45487314485145786
