architectural_archetype,stories,soil_class,seismic_zone,Story,Direction,Wall,L [cm],xi [cm],D+0.25L,Story Area,Nail spacing [cm],Number sheathing panels,Number end studs,Total number studs,Tx(s),Ty(s)
P,5,C,3,1,X,1.1,270,438.99999999999994,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,1.2,270,1503,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,2.1,149,886,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,2.2,149,1057,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,3.1,544,272,162306.88449144622,4918759.585999998,5,2,3,23,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,3.2,224,848,162306.88449144622,4918759.585999998,5,2,3,13,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,3.3,224,1094,162306.88449144622,4918759.585999998,5,2,3,13,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,3.4,544,1670,162306.88449144622,4918759.585999998,5,2,3,23,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,4.1,162,81,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,4.2,338,353,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,4.3,470,971.0000000000001,162306.88449144622,4918759.585999998,5,2,3,21,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,4.4,338,1589,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,4.5,162,1861,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,5.1,152,695,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,5.2,152,1247,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,6.1,570,469.00000000000006,162306.88449144622,4918759.585999998,5,2,3,24,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,6.2,570,1473,162306.88449144622,4918759.585999998,5,2,3,24,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,7.1,152,689,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,7.2,152,1243,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,8.1,162,81,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,8.2,338,353,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,8.3,470,971.0000000000001,162306.88449144622,4918759.585999998,5,2,3,21,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,8.4,338,1589,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,8.5,162,1861,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,9.1,544,272,162306.88449144622,4918759.585999998,5,2,3,23,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,9.2,224,848,162306.88449144622,4918759.585999998,5,2,3,13,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,9.3,224,1094,162306.88449144622,4918759.585999998,5,2,3,13,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,9.4,544,1670,162306.88449144622,4918759.585999998,5,2,3,23,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,10.1,149,886,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,10.2,149,1057,162306.88449144622,4918759.585999998,5,2,2,10,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,11.1,270,438.99999999999994,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,X,11.2,270,1503,162306.88449144622,4918759.585999998,5,2,3,16,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,B.1,284,173,162306.88449144622,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,B.2,276,173,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,B.3,422,173,162306.88449144622,4918759.585999998,5,1,2,17,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,B.4,276,173,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,B.5,284,173,162306.88449144622,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,C.1,287,533,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,C.2,200,533,162306.88449144622,4918759.585999998,10,1,1,12,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,C.3,200,533,162306.88449144622,4918759.585999998,10,1,1,12,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,C.4,287,533,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,D.1,799,645,162306.88449144622,4918759.585999998,5,2,3,36,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,D.2,799,645,162306.88449144622,4918759.585999998,5,2,3,36,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,E.1,722,765,162306.88449144622,4918759.585999998,5,2,2,30,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,F.1,777,971.0000000000001,162306.88449144622,4918759.585999998,5,2,2,31,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,F.2,777,971.0000000000001,162306.88449144622,4918759.585999998,5,2,2,31,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,G.1,722,1177,162306.88449144622,4918759.585999998,5,2,2,30,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,H.1,799,1297,162306.88449144622,4918759.585999998,5,2,3,36,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,H.2,799,1297,162306.88449144622,4918759.585999998,5,2,3,36,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,I.1,287,1409,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,I.2,200,1409,162306.88449144622,4918759.585999998,10,1,1,12,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,I.3,200,1409,162306.88449144622,4918759.585999998,10,1,1,12,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,I.4,287,1409,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,J.1,284,1769.0000000000002,162306.88449144622,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,J.2,276,1769.0000000000002,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,J.3,422,1769.0000000000002,162306.88449144622,4918759.585999998,5,1,2,17,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,J.4,276,1769.0000000000002,162306.88449144622,4918759.585999998,5,1,2,15,0.447565938162885,0.45487314485145786
P,5,C,3,1,Y,J.5,284,1769.0000000000002,162306.88449144622,4918759.585999998,5,1,2,18,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,1.1,270,438.99999999999994,161449.86624474623,4918759.585999998,5,2,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,1.2,270,1503,161449.86624474623,4918759.585999998,5,2,2,13,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,2.1,149,886,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,2.2,149,1057,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,3.1,544,272,161449.86624474623,4918759.585999998,5,2,3,21,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,3.2,224,848,161449.86624474623,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,3.3,224,1094,161449.86624474623,4918759.585999998,5,2,2,11,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,3.4,544,1670,161449.86624474623,4918759.585999998,5,2,3,21,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,4.1,162,81,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,4.2,338,353,161449.86624474623,4918759.585999998,5,2,2,14,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,4.3,470,971.0000000000001,161449.86624474623,4918759.585999998,5,2,3,20,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,4.4,338,1589,161449.86624474623,4918759.585999998,5,2,2,14,0.447565938162885,0.45487314485145786
P,5,C,3,2,X,4.5,162,1861,161449.86624474623,4918759.585999998,5,2,2,8,0.447565938162885,0.45487314485145786
