architectural_archetype,stories,soil_class,seismic_zone,connection_system,Tx(s),Ty(s)
P,5,C,3,ATS,0.447565938162885,0.45487314485145786
P,5,B,3,ATS,0.5765915346413583,0.6276391136819877
P,5,A,3,ATS,0.6158407855470023,0.6642428736028939
P,5,A,3,ATS,0.7243195887208966,0.7287964858817394
P,5,D,1,ATS,0.5203505476765594,0.5227026516974819
P,5,D,1,ATS,0.6010381571436136,0.6076663008988842
P,5,C,1,ATS,0.5864894978384791,0.6809740692275751
P,5,C,1,ATS,0.8982690647139107,0.8308156717950639
P,5,B,1,ATS,0.7572322605636899,0.7661684340157836
P,5,B,1,ATS,0.9244918251824533,0.8308156717950639
P,5,A,1,ATS,0.8176945833962966,0.8144266012442644
P,5,A,1,ATS,0.9419766420850841,0.8308156717950639
