architectural_archetype,stories,soil_class,seismic_zone,Story,Direction,Wall,L [cm],xi [cm],Story,Direction,Wall,L [cm],xi [cm]
P,5,C,3,2,X,10.2,149,1057,2,X,10.2,149,1057
P,5,C,3,2,X,11.1,270,438.99999999999994,2,X,11.1,270,438.99999999999994
P,5,C,3,2,X,11.2,270,1503,2,X,11.2,270,1503
P,5,C,3,2,Y,B.1,284,173,2,Y,B.1,284,173
P,5,C,3,2,Y,B.2,276,173,2,Y,B.2,276,173
P,5,C,3,2,Y,B.3,422,173,2,Y,B.3,422,173
P,5,C,3,2,Y,B.4,276,173,2,Y,B.4,276,173
P,5,C,3,2,Y,B.5,284,173,2,Y,B.5,284,173
P,5,C,3,2,Y,C.1,287,533,2,Y,C.1,287,533
P,5,C,3,2,Y,C.2,200,533,2,Y,C.2,200,533
P,5,C,3,2,Y,C.3,200,533,2,Y,C.3,200,533
P,5,C,3,2,Y,C.4,287,533,2,Y,C.4,287,533
P,5,C,3,2,Y,D.1,799,645,2,Y,D.1,799,645
P,5,C,3,2,Y,D.2,799,645,2,Y,D.2,799,645
P,5,C,3,2,Y,E.1,722,765,2,Y,E.1,722,765
P,5,C,3,2,Y,F.1,777,971.0000000000001,2,Y,F.1,777,971.0000000000001
P,5,C,3,2,Y,F.2,777,971.0000000000001,2,Y,F.2,777,971.0000000000001
P,5,C,3,2,Y,G.1,722,1177,2,Y,G.1,722,1177
P,5,C,3,2,Y,H.1,799,1297,2,Y,H.1,799,1297
P,5,C,3,2,Y,H.2,799,1297,2,Y,H.2,799,1297
P,5,C,3,2,Y,I.1,287,1409,2,Y,I.1,287,1409
P,5,C,3,2,Y,I.2,200,1409,2,Y,I.2,200,1409
P,5,C,3,2,Y,I.3,200,1409,2,Y,I.3,200,1409
P,5,C,3,2,Y,I.4,287,1409,2,Y,I.4,287,1409
P,5,C,3,2,Y,J.1,284,1769.0000000000002,2,Y,J.1,284,1769.0000000000002
P,5,C,3,2,Y,J.2,276,1769.0000000000002,2,Y,J.2,276,1769.0000000000002
P,5,C,3,2,Y,J.3,422,1769.0000000000002,2,Y,J.3,422,1769.0000000000002
P,5,C,3,2,Y,J.4,276,1769.0000000000002,2,Y,J.4,276,1769.0000000000002
P,5,C,3,2,Y,J.5,284,1769.0000000000002,2,Y,J.5,284,1769.0000000000002
P,5,C,3,3,X,1.1,270,438.99999999999994,3,X,1.1,270,438.99999999999994
P,5,C,3,3,X,1.2,270,1503,3,X,1.2,270,1503
P,5,C,3,3,X,2.1,149,886,3,X,2.1,149,886
P,5,C,3,3,X,2.2,149,1057,3,X,2.2,149,1057
P,5,C,3,3,X,3.1,544,272,3,X,3.1,544,272
P,5,C,3,3,X,3.2,224,848,3,X,3.2,224,848
P,5,C,3,3,X,3.3,224,1094,3,X,3.3,224,1094
P,5,C,3,3,X,3.4,544,1670,3,X,3.4,544,1670
P,5,C,3,3,X,4.1,162,81,3,X,4.1,162,81
P,5,C,3,3,X,4.2,338,353,3,X,4.2,338,353
P,5,C,3,3,X,4.3,470,971.0000000000001,3,X,4.3,470,971.0000000000001
P,5,C,3,3,X,4.4,338,1589,3,X,4.4,338,1589
P,5,C,3,3,X,4.5,162,1861,3,X,4.5,162,1861
P,5,C,3,3,X,5.1,152,695,3,X,5.1,152,695
P,5,C,3,3,X,5.2,152,1247,3,X,5.2,152,1247
P,5,C,3,3,X,6.1,570,469.00000000000006,3,X,6.1,570,469.00000000000006
P,5,C,3,3,X,6.2,570,1473,3,X,6.2,570,1473
P,5,C,3,3,X,7.1,152,689,3,X,7.1,152,689
P,5,C,3,3,X,7.2,152,1243,3,X,7.2,152,1243
P,5,C,3,3,X,8.1,162,81,3,X,8.1,162,81
P,5,C,3,3,X,8.2,338,353,3,X,8.2,338,353
P,5,C,3,3,X,8.3,470,971.0000000000001,3,X,8.3,470,971.0000000000001
P,5,C,3,3,X,8.4,338,1589,3,X,8.4,338,1589
P,5,C,3,3,X,8.5,162,1861,3,X,8.5,162,1861
P,5,C,3,3,X,9.1,544,272,3,X,9.1,544,272
P,5,C,3,3,X,9.2,224,848,3,X,9.2,224,848
P,5,C,3,3,X,9.3,224,1094,3,X,9.3,224,1094
P,5,C,3,3,X,9.4,544,1670,3,X,9.4,544,1670
P,5,C,3,3,X,10.1,149,886,3,X,10.1,149,886
P,5,C,3,3,X,10.2,149,1057,3,X,10.2,149,1057
P,5,C,3,3,X,11.1,270,438.99999999999994,3,X,11.1,270,438.99999999999994
P,5,C,3,3,X,11.2,270,1503,3,X,11.2,270,1503
P,5,C,3,3,Y,B.1,284,173,3,Y,B.1,284,173
P,5,C,3,3,Y,B.2,276,173,3,Y,B.2,276,173
P,5,C,3,3,Y,B.3,422,173,3,Y,B.3,422,173
P,5,C,3,3,Y,B.4,276,173,3,Y,B.4,276,173
P,5,C,3,3,Y,B.5,284,173,3,Y,B.5,284,173
P,5,C,3,3,Y,C.1,287,533,3,Y,C.1,287,533
P,5,C,3,3,Y,C.2,200,533,3,Y,C.2,200,533
P,5,C,3,3,Y,C.3,200,533,3,Y,C.3,200,533
P,5,C,3,3,Y,C.4,287,533,3,Y,C.4,287,533
P,5,C,3,3,Y,D.1,799,645,3,Y,D.1,799,645
P,5,C,3,3,Y,D.2,799,645,3,Y,D.2,799,645
P,5,C,3,3,Y,E.1,722,765,3,Y,E.1,722,765
P,5,C,3,3,Y,F.1,777,971.0000000000001,3,Y,F.1,777,971.0000000000001
P,5,C,3,3,Y,F.2,777,971.0000000000001,3,Y,F.2,777,971.0000000000001
P,5,C,3,3,Y,G.1,722,1177,3,Y,G.1,722,1177
P,5,C,3,3,Y,H.1,799,1297,3,Y,H.1,799,1297
P,5,C,3,3,Y,H.2,799,1297,3,Y,H.2,799,1297
P,5,C,3,3,Y,I.1,287,1409,3,Y,I.1,287,1409
P,5,C,3,3,Y,I.2,200,1409,3,Y,I.2,200,1409
P,5,C,3,3,Y,I.3,200,1409,3,Y,I.3,200,1409
P,5,C,3,3,Y,I.4,287,1409,3,Y,I.4,287,1409
P,5,C,3,3,Y,J.1,284,1769.0000000000002,3,Y,J.1,284,1769.0000000000002
P,5,C,3,3,Y,J.2,276,1769.0000000000002,3,Y,J.2,276,1769.0000000000002
P,5,C,3,3,Y,J.3,422,1769.0000000000002,3,Y,J.3,422,1769.0000000000002
P,5,C,3,3,Y,J.4,276,1769.0000000000002,3,Y,J.4,276,1769.0000000000002
P,5,C,3,3,Y,J.5,284,1769.0000000000002,3,Y,J.5,284,1769.0000000000002
P,5,C,3,4,Y,1.1,270,438.99999999999994,4,Y,1.1,270,438.99999999999994
P,5,C,3,4,Y,1.2,270,1503,4,Y,1.2,270,1503
P,5,C,3,4,Y,2.1,149,886,4,Y,2.1,149,886
P,5,C,3,4,Y,2.2,149,1057,4,Y,2.2,149,1057
P,5,C,3,4,Y,3.1,544,272,4,Y,3.1,544,272
P,5,C,3,4,Y,3.2,224,848,4,Y,3.2,224,848
P,5,C,3,4,Y,3.3,224,1094,4,Y,3.3,224,1094
P,5,C,3,4,Y,3.4,544,1670,4,Y,3.4,544,1670
P,5,C,3,4,Y,4.1,162,81,4,Y,4.1,162,81
P,5,C,3,4,Y,4.2,338,353,4,Y,4.2,338,353
P,5,C,3,4,Y,4.3,470,971.0000000000001,4,Y,4.3,470,971.0000000000001
P,5,C,3,4,Y,4.4,338,1589,4,Y,4.4,338,1589
P,5,C,3,4,Y,4.5,162,1861,4,Y,4.5,162,1861
P,5,C,3,4,Y,5.1,152,695,4,Y,5.1,152,695
P,5,C,3,4,Y,5.2,152,1247,4,Y,5.2,152,1247
P,5,C,3,4,Y,6.1,570,469.00000000000006,4,Y,6.1,570,469.00000000000006
P,5,C,3,4,Y,6.2,570,1473,4,Y,6.2,570,1473
P,5,C,3,4,Y,7.1,152,689,4,Y,7.1,152,689
P,5,C,3,4,Y,7.2,152,1243,4,Y,7.2,152,1243
P,5,C,3,4,Y,8.1,162,81,4,Y,8.1,162,81
P,5,C,3,4,Y,8.2,338,353,4,Y,8.2,338,353
P,5,C,3,4,Y,8.3,470,971.0000000000001,4,Y,8.3,470,971.0000000000001
P,5,C,3,4,Y,8.4,338,1589,4,Y,8.4,338,1589
P,5,C,3,4,Y,8.5,162,1861,4,Y,8.5,162,1861
P,5,C,3,4,Y,9.1,544,272,4,Y,9.1,544,272
P,5,C,3,4,Y,9.2,224,848,4,Y,9.2,224,848
P,5,C,3,4,Y,9.3,224,1094,4,Y,9.3,224,1094
P,5,C,3,4,Y,9.4,544,1670,4,Y,9.4,544,1670
P,5,C,3,4,Y,10.1,149,886,4,Y,10.1,149,886
P,5,C,3,4,Y,10.2,149,1057,4,Y,10.2,149,1057
P,5,C,3,4,Y,11.1,270,438.99999999999994,4,Y,11.1,270,438.99999999999994
P,5,C,3,4,Y,11.2,270,1503,4,Y,11.2,270,1503
P,5,C,3,4,Y,B.1,284,173,4,Y,B.1,284,173
P,5,C,3,4,Y,B.2,276,173,4,Y,B.2,276,173
P,5,C,3,4,Y,B.3,422,173,4,Y,B.3,422,173
P,5,C,3,4,Y,B.4,276,173,4,Y,B.4,276,173
P,5,C,3,4,Y,B.5,284,173,4,Y,B.5,284,173
P,5,C,3,4,Y,C.1,287,533,4,Y,C.1,287,533
P,5,C,3,4,Y,C.2,200,533,4,Y,C.2,200,533
P,5,C,3,4,Y,C.3,200,533,4,Y,C.3,200,533
P,5,C,3,4,Y,C.4,287,533,4,Y,C.4,287,533
P,5,C,3,4,Y,D.1,799,645,4,Y,D.1,799,645
P,5,C,3,4,Y,D.2,799,645,4,Y,D.2,799,645
P,5,C,3,4,Y,E.1,722,765,4,Y,E.1,722,765
P,5,C,3,4,Y,F.1,777,971.0000000000001,4,Y,F.1,777,971.0000000000001
P,5,C,3,4,Y,F.2,777,971.0000000000001,4,Y,F.2,777,971.0000000000001
P,5,C,3,4,Y,G.1,722,1177,4,Y,G.1,722,1177
P,5,C,3,4,Y,H.1,799,1297,4,Y,H.1,799,1297
P,5,C,3,4,Y,H.2,799,1297,4,Y,H.2,799,1297
P,5,C,3,4,Y,I.1,287,1409,4,Y,I.1,287,1409
P,5,C,3,4,Y,I.2,200,1409,4,Y,I.2,200,1409
P,5,C,3,4,Y,I.3,200,1409,4,Y,I.3,200,1409
P,5,C,3,4,Y,I.4,287,1409,4,Y,I.4,287,1409
P,5,C,3,4,Y,J.1,284,1769.0000000000002,4,Y,J.1,284,1769.0000000000002
P,5,C,3,4,Y,J.2,276,1769.0000000000002,4,Y,J.2,276,1769.0000000000002
P,5,C,3,4,Y,J.3,422,1769.0000000000002,4,Y,J.3,422,1769.0000000000002
P,5,C,3,4,Y,J.4,276,1769.0000000000002,4,Y,J.4,276,1769.0000000000002
P,5,C,3,4,Y,J.5,284,1769.0000000000002,4,Y,J.5,284,1769.0000000000002
P,5,C,3,5,Y,1.1,270,438.99999999999994,5,Y,1.1,270,438.99999999999994
P,5,C,3,5,Y,1.2,270,1503,5,Y,1.2,270,1503
P,5,C,3,5,Y,2.1,149,886,5,Y,2.1,149,886
P,5,C,3,5,Y,2.2,149,1057,5,Y,2.2,149,1057
P,5,C,3,5,Y,3.1,544,272,5,Y,3.1,544,272
P,5,C,3,5,Y,3.2,224,848,5,Y,3.2,224,848
P,5,C,3,5,Y,3.3,224,1094,5,Y,3.3,224,1094
P,5,C,3,5,Y,3.4,544,1670,5,Y,3.4,544,1670
P,5,C,3,5,Y,4.1,162,81,5,Y,4.1,162,81
P,5,C,3,5,Y,4.2,338,353,5,Y,4.2,338,353
P,5,C,3,5,Y,4.3,470,971.0000000000001,5,Y,4.3,470,971.0000000000001
P,5,C,3,5,Y,4.4,338,1589,5,Y,4.4,338,1589
P,5,C,3,5,Y,4.5,162,1861,5,Y,4.5,162,1861
P,5,C,3,5,Y,5.1,152,695,5,Y,5.1,152,695
P,5,C,3,5,Y,5.2,152,1247,5,Y,5.2,152,1247
P,5,C,3,5,Y,6.1,570,469.00000000000006,5,Y,6.1,570,469.00000000000006
P,5,C,3,5,Y,6.2,570,1473,5,Y,6.2,570,1473
P,5,C,3,5,Y,7.1,152,689,5,Y,7.1,152,689
P,5,C,3,5,Y,7.2,152,1243,5,Y,7.2,152,1243
P,5,C,3,5,Y,8.1,162,81,5,Y,8.1,162,81
P,5,C,3,5,Y,8.2,338,353,5,Y,8.2,338,353
P,5,C,3,5,Y,8.3,470,971.0000000000001,5,Y,8.3,470,971.0000000000001
P,5,C,3,5,Y,8.4,338,1589,5,Y,8.4,338,1589
P,5,C,3,5,Y,8.5,162,1861,5,Y,8.5,162,1861
P,5,C,3,5,Y,9.1,544,272,5,Y,9.1,544,272
P,5,C,3,5,Y,9.2,224,848,5,Y,9.2,224,848
P,5,C,3,5,Y,9.3,224,1094,5,Y,9.3,224,1094
P,5,C,3,5,Y,9.4,544,1670,5,Y,9.4,544,1670
P,5,C,3,5,Y,10.1,149,886,5,Y,10.1,149,886
P,5,C,3,5,Y,10.2,149,1057,5,Y,10.2,149,1057
P,5,C,3,5,Y,11.1,270,438.99999999999994,5,Y,11.1,270,438.99999999999994
P,5,C,3,5,Y,11.2,270,1503,5,Y,11.2,270,1503
P,5,C,3,5,Y,B.1,284,173,5,Y,B.1,284,173
P,5,C,3,5,Y,B.2,276,173,5,Y,B.2,276,173
P,5,C,3,5,Y,B.3,422,173,5,Y,B.3,422,173
P,5,C,3,5,Y,B.4,276,173,5,Y,B.4,276,173
P,5,C,3,5,Y,B.5,284,173,5,Y,B.5,284,173
P,5,C,3,5,Y,C.1,287,533,5,Y,C.1,287,533
P,5,C,3,5,Y,C.2,200,533,5,Y,C.2,200,533
P,5,C,3,5,Y,C.3,200,533,5,Y,C.3,200,533
P,5,C,3,5,Y,C.4,287,533,5,Y,C.4,287,533
P,5,C,3,5,Y,D.1,799,645,5,Y,D.1,799,645
P,5,C,3,5,Y,D.2,799,645,5,Y,D.2,799,645
P,5,C,3,5,Y,E.1,722,765,5,Y,E.1,722,765
P,5,C,3,5,Y,F.1,777,971.0000000000001,5,Y,F.1,777,971.0000000000001
P,5,C,3,5,Y,F.2,777,971.0000000000001,5,Y,F.2,777,971.0000000000001
P,5,C,3,5,Y,G.1,722,1177,5,Y,G.1,722,1177
P,5,C,3,5,Y,H.1,799,1297,5,Y,H.1,799,1297
P,5,C,3,5,Y,H.2,799,1297,5,Y,H.2,799,1297
P,5,C,3,5,Y,I.1,287,1409,5,Y,I.1,287,1409
P,5,C,3,5,Y,I.2,200,1409,5,Y,I.2,200,1409
P,5,C,3,5,Y,I.3,200,1409,5,Y,I.3,200,1409
P,5,C,3,5,Y,I.4,287,1409,5,Y,I.4,287,1409
P,5,C,3,5,Y,J.1,284,1769.0000000000002,5,Y,J.1,284,1769.0000000000002
P,5,C,3,5,Y,J.2,276,1769.0000000000002,5,Y,J.2,276,1769.0000000000002
P,5,C,3,5,Y,J.3,422,1769.0000000000002,5,Y,J.3,422,1769.0000000000002
P,5,C,3,5,Y,J.4,276,1769.0000000000002,5,Y,J.4,276,1769.0000000000002
P,5,C,3,5,Y,J.5,284,1769.0000000000002,5,Y,J.5,284,1769.0000000000002
P,5,C,3,1,X,1.1,270,438.99999999999994,1,X,1.1,270,438.99999999999994
P,5,C,3,1,X,1.2,270,1503,1,X,1.2,270,1503
P,5,B,3,1,X,2.1,149,886,1,X,2.1,149,886
P,5,B,3,1,X,2.2,149,1057,1,X,2.2,149,1057
P,5,B,3,1,X,3.1,544,272,1,X,3.1,544,272
P,5,B,3,1,X,3.2,224,848,1,X,3.2,224,848
P,5,B,3,1,X,3.3,224,1094,1,X,3.3,224,1094
P,5,B,3,1,X,3.4,544,1670,1,X,3.4,544,1670
P,5,B,3,1,X,4.1,162,81,1,X,4.1,162,81
P,5,B,3,1,X,4.2,338,353,1,X,4.2,338,353
P,5,B,3,1,X,4.3,470,971.0000000000001,1,X,4.3,470,971.0000000000001
P,5,B,3,1,X,4.4,338,1589,1,X,4.4,338,1589
P,5,B,3,1,X,4.5,162,1861,1,X,4.5,162,1861
P,5,B,3,1,X,5.1,152,695,1,X,5.1,152,695
P,5,B,3,1,X,5.2,152,1247,1,X,5.2,152,1247
P,5,B,3,1,X,6.1,570,469.00000000000006,1,X,6.1,570,469.00000000000006
P,5,B,3,1,X,6.2,570,1473,1,X,6.2,570,1473
P,5,B,3,1,X,7.1,152,689,1,X,7.1,152,689
P,5,B,3,1,X,7.2,152,1243,1,X,7.2,152,1243
P,5,B,3,1,X,8.1,162,81,1,X,8.1,162,81
P,5,B,3,1,X,8.2,338,353,1,X,8.2,338,353
P,5,B,3,1,X,8.3,470,971.0000000000001,1,X,8.3,470,971.0000000000001
P,5,B,3,1,X,8.4,338,1589,1,X,8.4,338,1589
P,5,B,3,1,X,8.5,162,1861,1,X,8.5,162,1861
P,5,B,3,1,X,9.1,544,272,1,X,9.1,544,272
P,5,B,3,1,X,9.2,224,848,1,X,9.2,224,848
P,5,B,3,1,X,9.3,224,1094,1,X,9.3,224,1094
P,5,B,3,1,X,9.4,544,1670,1,X,9.4,544,1670
P,5,B,3,1,X,10.1,149,886,1,X,10.1,149,886
P,5,B,3,1,X,10.2,149,1057,1,X,10.2,149,1057
P,5,B,3,1,X,11.1,270,438.99999999999994,1,X,11.1,270,438.99999999999994
P,5,B,3,1,X,11.2,270,1503,1,X,11.2,270,1503
P,5,B,3,1,Y,B.1,284,173,1,Y,B.1,284,173
P,5,B,3,1,Y,B.2,276,173,1,Y,B.2,276,173
P,5,B,3,1,Y,B.3,422,173,1,Y,B.3,422,173
P,5,B,3,1,Y,B.4,276,173,1,Y,B.4,276,173
P,5,B,3,1,Y,B.5,284,173,1,Y,B.5,284,173
P,5,B,3,1,Y,C.1,287,533,1,Y,C.1,287,533
P,5,B,3,1,Y,C.2,200,533,1,Y,C.2,200,533
P,5,B,3,1,Y,C.3,200,533,1,Y,C.3,200,533
P,5,B,3,1,Y,C.4,287,533,1,Y,C.4,287,533
P,5,B,3,1,Y,D.1,799,645,1,Y,D.1,799,645
P,5,B,3,1,Y,D.2,799,645,1,Y,D.2,799,645
P,5,B,3,1,Y,E.1,722,765,1,Y,E.1,722,765
P,5,B,3,1,Y,F.1,777,971.0000000000001,1,Y,F.1,777,971.0000000000001
P,5,B,3,1,Y,F.2,777,971.0000000000001,1,Y,F.2,777,971.0000000000001
P,5,B,3,1,Y,G.1,722,1177,1,Y,G.1,722,1177
P,5,B,3,1,Y,H.1,799,1297,1,Y,H.1,799,1297
P,5,B,3,1,Y,H.2,799,1297,1,Y,H.2,799,1297
P,5,B,3,1,Y,I.1,287,1409,1,Y,I.1,287,1409
P,5,B,3,1,Y,I.2,200,1409,1,Y,I.2,200,1409
P,5,B,3,1,Y,I.3,200,1409,1,Y,I.3,200,1409
P,5,B,3,1,Y,I.4,287,1409,1,Y,I.4,287,1409
P,5,B,3,1,Y,J.1,284,1769.0000000000002,1,Y,J.1,284,1769.0000000000002
P,5,B,3,1,Y,J.2,276,1769.0000000000002,1,Y,J.2,276,1769.0000000000002
P,5,B,3,1,Y,J.3,422,1769.0000000000002,1,Y,J.3,422,1769.0000000000002
