Nail spacing [cm],Number sheathing panels,Number end studs,Total number studs,HoldDown Model / ATS
15,1,2,12,1.0
15,1,4,12,18.0
15,1,2,12,1.0
5,2,2,8,2.54
5,1,4,13,13.0
15,1,1,7,1.5875
10,1,1,22,0.9525
10,1,3,17,3.0
10,1,3,17,12.0
15,1,1,7,0.9525
5,1,1,6,0.9525
15,1,3,14,4.0
15,1,2,11,1.0
15,1,2,10,1.0
10,1,1,8,1.27
15,1,1,6,1.27
5,1,6,23,24.0
5,2,1,7,0.9525
5,1,3,9,18.0
15,1,1,9,0.9525
15,1,2,6,1.0
15,1,3,10,7.0
5,2,1,5,1.905
15,1,2,7,1.0
5,2,1,5,2.2225
10,1,4,12,13.0
15,1,1,7,0.9525
15,1,3,15,7.0
15,1,2,12,2.0
5,2,1,8,1.905
5,2,4,14,26.0
15,1,3,19,4.0
10,1,1,21,0.9525
15,1,3,10,9.0
15,1,1,14,0.9525
15,1,1,7,0.9525
5,2,1,6,1.27
15,1,2,6,1.0
15,1,2,16,1.0
5,2,1,9,0.9525
15,1,3,8,9.0
5,1,4,10,26.0
5,1,4,12,20.0
15,1,1,10,0.9525
15,1,2,23,1.0
5,2,1,6,1.5875
5,1,4,15,26.0
10,1,1,20,0.9525
15,1,1,8,0.9525
15,1,2,10,1.0
15,1,3,10,4.0
15,1,1,9,0.9525
15,1,3,10,4.0
15,1,1,10,0.9525
15,1,3,8,4.0
15,1,2,11,1.0
10,1,3,14,9.0
15,1,3,10,8.0
5,2,1,6,1.5875
15,1,2,12,1.0
15,1,1,7,0.9525
15,1,2,16,1.0
10,2,1,16,1.5875
15,1,3,14,12.0
5,1,2,8,6.0
15,1,3,9,4.0
15,1,3,9,7.0
15,1,2,7,1.0
15,1,3,12,9.0
5,2,3,12,16.0
10,1,4,18,13.0
5,2,1,8,1.5875
15,1,3,8,8.0
5,2,4,11,20.0
15,1,2,6,1.0
15,1,1,7,1.5875
15,1,3,13,4.0
15,1,2,7,1.0
15,1,2,13,1.0
5,2,1,5,1.27
10,1,2,30,1.5875
5,1,1,15,1.27
15,1,2,6,1.0
15,1,3,12,4.0
15,1,1,9,0.9525
10,1,1,16,0.9525
5,1,4,14,26.0
15,1,3,25,7.0
15,1,3,12,9.0
10,1,3,12,10.0
10,1,3,9,4.0
15,1,3,13,8.0
15,1,2,12,1.0
15,1,3,10,4.0
15,1,2,7,2.0
15,1,1,10,0.9525
